,Col_3.OH10_000,Col_3.OH10_005,Col_3.OH10_010,Col_3.OH10_030,Col_3.OH10_090,Col_3.OH10_180,Col_3.OH10_0001,Col_3.OH10_0051,Col_3.OH10_0101,Col_3.OH10_0301,Col_3.OH10_0901,Col_3.OH10_1801,Col_3.OH10_0002,Col_3.OH10_0052,Col_3.OH10_0102,Col_3.OH10_0302,Col_3.OH10_0902,Col_3.OH10_1802,Col_3.OH10_0003,Col_3.OH10_0103,Col_3.OH10_0303,Col_3.OH10_0903,Col_3.OH10_1803
38,6.633318433,6.418364936,6.455198563,6.212606096,5.955837369,5.564520407,6.601230119,6.678342115,6.698268054,6.693323668,6.577861358,6.791221463,6.423246964,6.455198563,6.386879319,6.542471961,6.639875834,6.535241271,6.333279628,6.354370041,6.343880434,6.340359304,6.504288174
39,6.499787041,6.230481448,6.161207322,6.08221891,5.620400866,5.123963979,6.324358962,6.400257445,6.442540166,6.436150368,6.309918278,6.535241271,6.267200549,6.249975242,6.120297419,6.411818268,6.467698726,6.580639137,6.230481448,6.11146734,6.135564891,6.00635316,6.298949247
40,8.007700013,7.697575347,7.824845691,7.488293515,7.305860033,7.027314514,7.779048645,8.003363059,8.026170195,8.093156698,7.902487437,8.177515824,7.849323818,7.724446646,7.779466967,8.001019961,8.088868789,8.143517406,7.864035659,7.798112629,7.647308832,7.74109909,7.999007213
41,8.10832229,7.839525582,7.948738455,7.61085279,7.351799869,7.012115294,8.017307508,8.183955717,8.1285852,8.222553638,8.112227958,8.349484347,8.003363059,7.868254266,7.889084407,8.18729927,8.271292653,8.215817792,7.957877358,7.98752448,7.83873756,7.933079772,8.123854263
42,8.033982735,7.678788998,7.841099765,7.717351272,7.267525428,6.926577033,7.811163385,7.96241568,8.046549357,8.04494705,7.920083199,7.982416347,7.848543482,7.776115477,7.646353722,7.966933498,7.961021466,7.929486523,7.830822995,7.776954403,7.609862201,7.681560363,7.864419905
43,8.575839387,8.207129168,8.33854488,8.314587291,7.931284762,7.479299638,8.408270784,8.505727713,8.493924564,8.487352349,8.47470314,8.595264727,8.395477433,8.353025845,8.284251798,8.506738734,8.517992872,8.586159396,8.168486417,8.223627176,8.065579427,8.13123655,8.362408978
44,7.945909599,7.590346946,7.764296006,7.65396918,7.372118028,7.104144093,7.805474625,7.956476798,8.016317899,7.905072849,7.867488569,8.042699497,7.805067044,7.790282381,7.737616283,7.888709524,7.986504939,8.024207486,7.765993079,7.757478767,7.541152455,7.681560363,7.952263309
45,6.786716951,6.436150368,6.523562306,6.478509642,5.983936281,5.634789603,6.689599269,6.833031733,6.749931194,6.728628613,6.693323668,6.797940413,6.580639137,6.601230119,6.646390515,6.635946556,6.767343125,6.89060912,6.432940093,6.555356892,6.396929655,6.380122537,6.602587892
46,8.471149253,8.15564927,8.286269453,8.222285074,7.748028524,7.17472431,8.24143969,8.432506383,8.430545385,8.4740769,8.388677769,8.536014946,8.257904193,8.247743887,8.235890726,8.414938957,8.458504195,8.434246271,8.213110698,8.213652703,8.050703381,8.150467912,8.353732642
47,8.395477433,7.985484357,8.166500319,8.04334217,7.821643126,7.271703707,8.187577396,8.332789468,8.283241441,8.488176242,8.413830678,8.49269556,8.259716961,8.079927771,8.016977747,8.362875831,8.45723085,8.445482344,8.134760782,8.146419323,7.9683195,8.082402254,8.391176351
