"","Col_3-OH10_000","Col_3-OH10_005","Col_3-OH10_010","Col_3-OH10_030","Col_3-OH10_090","Col_3-OH10_180","Col_3-OH10_0001","Col_3-OH10_0051","Col_3-OH10_0101","Col_3-OH10_0301","Col_3-OH10_0901","Col_3-OH10_1801","Col_3-OH10_0002","Col_3-OH10_0052","Col_3-OH10_0102","Col_3-OH10_0302","Col_3-OH10_0902","Col_3-OH10_1802","Col_3-OH10_0003","Col_3-OH10_0103","Col_3-OH10_0303","Col_3-OH10_0903","Col_3-OH10_1803"
"V9",0.752346280076875,0.734675203202987,0.737831707871219,0.722913432279936,0.725500513524343,0.697367561206668,0.745270533005854,0.744850756452496,0.746387768414958,0.753115986367645,0.74746519373768,0.75566648308689,0.741256133516748,0.734174471517656,0.728377964560232,0.747848476479307,0.748577165642523,0.751495993265125,0.732140529445272,0.726410077979817,0.728938887932585,0.731225625300599,0.739320805392143
"V11",0.734980890196448,0.716316697392492,0.726093552233924,0.719190509907398,0.692677796229464,0.668180782685418,0.72152038736108,0.733059012413036,0.735812075607696,0.739928351469712,0.731491628089427,0.742761470087747,0.722865179324624,0.724993335502396,0.722598984868973,0.734135746920055,0.739495149091893,0.738422026890402,0.724034661356788,0.723679446844719,0.714734526501833,0.713968298959163,0.729366221259356
"V12",0.606227279831011,0.575317412303063,0.579794177577853,0.559728925726781,0.527224461335974,0.501066896183107,0.571641257903512,0.596748054341867,0.608693295740069,0.58908261756027,0.581465075795361,0.604533547896923,0.584471576043483,0.583788554747805,0.580275423162984,0.595784864409125,0.60555469364832,0.607880948680386,0.568060410753503,0.57833150043573,0.559414150577548,0.564599272772369,0.58286790749519
"V13",0.612465315599056,0.592409881917259,0.592612847335836,0.582635941369058,0.563410089728045,0.529539623077892,0.604189836317186,0.594414284413187,0.598636341260848,0.613678190547547,0.595978541566957,0.612465315599056,0.592002232919414,0.595590662516507,0.573763776093892,0.60755333667975,0.609973611540926,0.612465315599056,0.587360109021171,0.581228665745665,0.578084908925056,0.570557287317529,0.595590662516507
"V15",0.693680820235418,0.664810174612874,0.665013746223626,0.640460386607569,0.642340765979683,0.626512349297395,0.670759609169824,0.684236637312134,0.678482215265846,0.689467890812208,0.673172377903951,0.697017457044943,0.672637989640436,0.664469359178339,0.659707866701441,0.676727933905765,0.685589952698652,0.686113004142728,0.663920033562866,0.653327842072158,0.648561313612228,0.653491533065909,0.667987653498492
"V16",0.729811107868236,0.697830965259659,0.706693044849755,0.699906739272847,0.679340004885126,0.657295919899443,0.710818712241362,0.725201419488932,0.722671718549074,0.725683714022155,0.719500347710885,0.728551211790059,0.7149033100637,0.707214149182697,0.703317972211529,0.720469594983207,0.727126340938893,0.729937509477217,0.709963022671722,0.714139527909918,0.698328662978708,0.70586867363462,0.720545356011457
"V17",0.708684988408817,0.691095614932397,0.689378560635138,0.671250061015317,0.665284113284523,0.642535529478659,0.695071783663248,0.704318421901536,0.705099058221682,0.71148160400942,0.701332817104915,0.71148160400942,0.698821936646465,0.690353543053086,0.676672257391247,0.705401508582437,0.708432046759515,0.708146064975677,0.691870866614546,0.685446470402071,0.680342501061616,0.686349185552307,0.694093520456132
"V18",0.735133040339085,0.71856529706138,0.71848662009183,0.705901889622519,0.693639382896254,0.669703806986977,0.72082221152239,0.729536159164084,0.724761144638416,0.728507954887497,0.724410892890149,0.733766373380604,0.718878833158133,0.711571366806032,0.711301626235092,0.729259722339436,0.73297980239706,0.732321547591271,0.70792258431338,0.709654090226918,0.708905344631424,0.713277825981331,0.723987439774457
"V19",0.715628567722512,0.697445063897343,0.710208898192662,0.697522458745728,0.684480649209433,0.67032712726228,0.707890583010297,0.717238418110385,0.713652942162432,0.719577522186265,0.713882477547426,0.723345704769819,0.70345705763924,0.701513007752027,0.700128548922772,0.714847108434894,0.720922523947387,0.71642597288511,0.703352776699707,0.698935148442951,0.69551450538778,0.692677796229464,0.708621863953364
"V20",0.794556046209178,0.779839225099156,0.786362815129096,0.774460259985146,0.770426329739942,0.751577624102,0.783170440285397,0.786962961585671,0.790015265513366,0.796739930595984,0.7879492715014,0.801613763422939,0.783768417201618,0.777971179326225,0.777755271616923,0.796408848863946,0.798640345782886,0.793700605883283,0.782522592950945,0.78003794899696,0.776683581847438,0.77759265383134,0.789164890178673
"V22",0.49978664867917,0.459061188443492,0.442810428000891,0.421991025263732,0.384412236263359,0.276466148856654,0.45072733252241,0.46856368687298,0.489553974876743,0.474694234102825,0.458057455280979,0.502953333461007,0.441626530254413,0.448528831122875,0.434216721671548,0.478841117855012,0.497169695582376,0.491695350557668,0.448528831122875,0.414525585608516,0.430299853897674,0.424834950114208,0.48281142824132
"V23",0.760626338077283,0.739250896425152,0.739373172711566,0.727192982042423,0.713624180590885,0.69216950175748,0.743037664646629,0.747745581879508,0.750296527900887,0.749180915901469,0.748009729050351,0.754682973381979,0.742875384878247,0.739842012664578,0.735435966878764,0.749621761618264,0.751808161823117,0.750782666393967,0.732381743628802,0.728831494344399,0.72579788498116,0.731143497465751,0.743649493527252
"V24",0.730689408916709,0.708082307518847,0.711181304590867,0.688749286528543,0.676281036451698,0.664263945244316,0.713566610844663,0.725980034581776,0.725039648830627,0.727370270344724,0.716207195777568,0.734999934141789,0.707730292041782,0.699832604417157,0.705267293406439,0.723916526657431,0.723105997466508,0.724364013106252,0.71060606363076,0.70345705763924,0.702227924885185,0.70194307268927,0.71691493745926
"V25",0.694625531910568,0.671493779948778,0.668947137837009,0.656832967110008,0.638523369110666,0.629786241114484,0.673231457950441,0.67639308003621,0.678966272396442,0.680863271980424,0.671675916062051,0.691268814643844,0.671736504327357,0.669452646188888,0.667143507290337,0.681018597143266,0.689244301420453,0.688477451709836,0.66131271344425,0.659707866701441,0.651074919326036,0.648737928625204,0.670140813580839
"V26",0.767108918601379,0.755840879082664,0.757968409078494,0.738011330947756,0.734809169680966,0.72144602770489,0.758991517940802,0.767970617090479,0.766932664400071,0.772287825146732,0.768882325929782,0.776699412781185,0.761725673941304,0.757237609461296,0.757092507653111,0.770734385659356,0.775876769917626,0.773399848868917,0.756703382888091,0.756568880200897,0.751455125843405,0.754093297874147,0.769023157776108
"V27",0.756849679299299,0.734904642276205,0.738581817836475,0.733688264941627,0.708209747350864,0.662946578410711,0.743601466992994,0.749366275916583,0.750114707420238,0.751017033816301,0.748951802006909,0.755063653644211,0.741657621098451,0.738705746467033,0.735661969828855,0.751318649877863,0.757430389417297,0.753587588720896,0.73222106174734,0.733961117449837,0.725270595053274,0.72945126087287,0.743280085758732
"V28",0.773289012860895,0.751672685300882,0.762606300872557,0.7431186044146,0.743344530213362,0.727942266656135,0.763964866011621,0.768778773555132,0.770508076581083,0.776285981991931,0.769489494646987,0.779095377408476,0.762906891447508,0.754682973381979,0.755328331443976,0.775112637026293,0.777085534536935,0.773840497826572,0.756666738148969,0.754376225737175,0.753181765188091,0.752519877852249,0.763818189942435
"V29",0.787306673495309,0.768352698825041,0.769582194665606,0.755604043475595,0.751318649877863,0.733413930350112,0.77531713363749,0.777553848009898,0.776493173540484,0.781383274642839,0.779132866518368,0.784920775478943,0.772366299199144,0.764267230129042,0.761173679060446,0.781928467184205,0.782244000041794,0.780924959421751,0.76395440448526,0.761406310350762,0.758512125705994,0.76429839712629,0.77547193220655
"V31",0.750184719430676,0.727854681072924,0.733824875522919,0.720190862600393,0.713190884744306,0.685637700495203,0.736997022390257,0.740117770020765,0.74076661574284,0.749465791864987,0.744158876689637,0.754157747026307,0.740494451683147,0.734961839042305,0.730084583301366,0.749465791864987,0.753522365656395,0.752466530015807,0.736666577736202,0.731857655275126,0.724246627671491,0.72629725614817,0.741104731554418
"V32",0.735793336901684,0.710545151952508,0.71523927645388,0.709405662046796,0.698632734910226,0.676112569462847,0.720317743129527,0.730627172680121,0.729916464274707,0.73075156917357,0.724011055942442,0.733078795555449,0.721197394449443,0.718355229801147,0.717452975942733,0.729536159164084,0.734502435399193,0.737015316636468,0.717640000934718,0.71060606363076,0.708050400583409,0.70779446540324,0.72152038736108
